Record Type,Personnum,Last Name,First Name,MI,Shift Date,Start Time,End Date,Duration,Shift Type,Null,Null,Processed Time,Job Code,q,Worked Costs Center,Facility ID
SCHEDIMPORT,50000,Last001,First001,,20230905,7:00,19:30,12:30,REG,,,2.02E+11,N1320,47025,47025,CNMC
SCHEDIMPORT,50000,Last001,First001,,20230906,7:00,19:30,12:30,REG,,,2.02E+11,N1320,47025,47025,CNMC
SCHEDIMPORT,50001,Last002,First002,M,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1217,42000,42000,CNMC
SCHEDIMPORT,50001,Last002,First002,M,20230910,19:00,7:30,12:30,REG,,,2.02E+11,N1217,42000,42000,CNMC
SCHEDIMPORT,50001,Last002,First002,M,20230911,19:00,7:30,12:30,REG,,,2.02E+11,N1217,42000,42000,CNMC
SCHEDIMPORT,50002,Last003,First003,B,20230907,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42115,42115,CNMC
SCHEDIMPORT,50002,Last003,First003,B,20230908,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42115,42115,CNMC
SCHEDIMPORT,50002,Last003,First003,B,20230911,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42115,42115,CNMC
SCHEDIMPORT,50002,Last003,First003,B,20230912,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42115,42115,CNMC
SCHEDIMPORT,50003,Last004,First004,,20230905,15:00,23:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50003,Last004,First004,,20230906,15:00,23:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50003,Last004,First004,,20230907,15:00,23:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50003,Last004,First004,,20230908,15:00,23:00,8:00,PTO,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50003,Last004,First004,,20230911,15:00,23:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50003,Last004,First004,,20230912,15:00,23:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50004,Last005,First005,A,20230908,15:00,23:30,8:30,REG,,,2.02E+11,P5611,56110,56110,CNMC
SCHEDIMPORT,50005,Last006,First006,K,20230905,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50005,Last006,First006,K,20230906,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50005,Last006,First006,K,20230907,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50005,Last006,First006,K,20230910,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50005,Last006,First006,K,20230911,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50005,Last006,First006,K,20230912,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50006,Last007,First007,A,20230908,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91645,91645,CNMC
SCHEDIMPORT,50006,Last007,First007,A,20230909,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91645,91645,CNMC
SCHEDIMPORT,50006,Last007,First007,A,20230910,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91645,91645,CNMC
SCHEDIMPORT,50006,Last007,First007,A,20230911,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91645,91645,CNMC
SCHEDIMPORT,50007,Last008,First008,U,20230905,11:00,23:30,12:30,REG,,,2.02E+11,N1212,56110,56110,CNMC
SCHEDIMPORT,50007,Last008,First008,U,20230906,11:00,23:30,12:30,REG,,,2.02E+11,N1212,56110,56110,CNMC
